Workorder Number,Brand,Product Line,Description ,MOLD,Mold Serial,Paint Code,Paint Description,WO St,VIN Number,Window1,Window2,Handles,Skirt,Door
14126241,SNUGTOP BRAND PRODUCT,SNUGTOP REBEL,REBEL 57DR19,REBEL 57DR19,2411,PR4,PR4 FLAME/POPPYRED D3521 B9326,30,,WINDOW SB MINI & FULL SIZE-DS,WINDOW SB MINI & FULL SIZE-PS,PROLOCK HANDLE 00775,,TAILGATE 2009 DODGE DC
14126278,SNUGTOP BRAND PRODUCT,SNUGTOP CAB-HI,CAB HI 64TCDC,CHU 62GC15,2103,3R3,3R3 BARCELONA RED EFF,20,,WINDOW NB SLIDER / #13 OPT-DS,WINDOW NB SLIDER / #13 OPT-PS,,,TAILGATE 17-7/16X54-7/8X19.25D
14126292,SNUGTOP BRAND PRODUCT,SNUGTOP REBEL,REBEL 64DR19,REBEL 64DR19,2413,PW7,PW7 BRIGHT WHITE D1655 B8833,30,,WINDOOR 14X60X15DEG,WINDOOR 14X60X15DEG,WINDOOR HANDLE PRM( ) 1-1/2IN,,TAILGATE 2009 DODGE DC
14126295,LEER BRAND PRODUCT,LEER 100XR,100XR 56TT14,100XL 56TT14,2587,1G3,1G3 MAGNETIC GREY EFF,30,5TFDY5F19JX688483,RW 5815 20 DS DT,RW 5815 20 PS DT,ET-10 HANDLE ASSEMBLY BLACK,DOOR SKIRT TPO 100XL/XQ TT14,RGL DOOR 63X19X21 100XL TT14
14126298,SNUGTOP BRAND PRODUCT,SNUGTOP SPORT HI-LINER,SPORT HI LINER 8FSD,SPORT HI LINER 8FSD,1007,Z1 ,Z1 OXFORD WHITE M6887 B9791,20,,RS 16X76 15DEG FLAT,RS 16X76 15DEG FLAT,SPRING POPOUT LOCK-TG SS,23049 FIBERGLASS TG PIECE,TAILGATE F8/F9 FORD SD HL
14126300,SNUGTOP BRAND PRODUCT,SNUGTOP REBEL,REBEL 52TCDC16,REBEL 52TCDC16,1957,218,218 ATTITUDE BLACK,30,,RD 14X48 12/20 E6 FIXED SCREEN,RS 14X48 12/20 E6 FIXED SCREEN,PROLOCK HANDLE 00775,,TOYOTA TACOMA 2016
14126302,SNUGTOP BRAND PRODUCT,SNUGTOP REBEL,REBEL 56TT14,REBEL 56TT14,1857,1D6,1D6 SILVERSKY PM M9912,30,,WINDOW SB MINI & FULL SIZE-DS,WINDOW SB MINI & FULL SIZE-PS,PROLOCK HANDLE 00775,,TOYOTA TUNDRA 2014 TG WINDOW
14126309,SNUGTOP BRAND PRODUCT,SNUGTOP REBEL,REBEL 52TCDC16,REBEL 52TCDC16,1957,1G3,1G3 MAGNETIC GREY EFF,30,,RD 14X48 12/20 E6 FIXED SCREEN,RS 14X48 12/20 E6 FIXED SCREEN,PROLOCK HANDLE 00775,,TOYOTA TACOMA 2016
14126611,SNUGTOP BRAND PRODUCT,SNUGTOP CAB-HI,CAB HI 77TCR,CAB HI 77TCR,,4Q2,4Q2 DESRTSANDGOLDSILVRPM M4316,20,,WINDOW SB MINI & FULL SIZE-DS,WINDOW SB MINI & FULL SIZE-PS,,,TAILGATE 17-7/16X54-7/8X19.25D
14126615,SNUGTOP BRAND PRODUCT,SNUGTOP REBEL,REBEL 64DR09,REBEL 64DR09,1804,PW7,PW7 BRIGHT WHITE D1655 B8833,30,,WINDOW SB MINI & FULL SIZE-DS,WINDOW SB MINI & FULL SIZE-PS,SPRING POPOUT LOCK-TG SS,,TAILGATE 2009 DODGE DC
